
⚡天线信号👉咪咕央视,#genre#
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1
CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17
CCTV4美洲,http://101.200.122.188/tv/migu085.php?id=cctv4a
CCTV4欧洲,http://101.200.122.188/tv/migu085.php?id=cctv4o

⚡天线信号👉咪咕地方,#genre#
东方卫视,http://101.200.122.188/tv/migu085.php?id=dfws
重庆卫视,http://101.200.122.188/tv/migu085.php?id=cqws
辽宁卫视,http://101.200.122.188/tv/migu085.php?id=lnws
吉林卫视,http://101.200.122.188/tv/migu085.php?id=jlws
内蒙古卫视,http://101.200.122.188/tv/migu085.php?id=nmws
宁夏卫视,http://101.200.122.188/tv/migu085.php?id=nxws
甘肃卫视,http://101.200.122.188/tv/migu085.php?id=gsws
青海卫视,http://101.200.122.188/tv/migu085.php?id=qhws
陕西卫视,http://101.200.122.188/tv/migu085.php?id=sxws
山东卫视,http://101.200.122.188/tv/migu085.php?id=sdws
河南卫视,http://101.200.122.188/tv/migu085.php?id=hnws
湖北卫视,http://101.200.122.188/tv/migu085.php?id=hubws
湖南卫视,http://101.200.122.188/tv/migu085.php?id=hunws
江西卫视,http://101.200.122.188/tv/migu085.php?id=jxws
江苏卫视,http://101.200.122.188/tv/migu085.php?id=jsws
广东卫视,http://101.200.122.188/tv/migu085.php?id=gdws
大湾区卫视,http://101.200.122.188/tv/migu085.php?id=dwqws
广西卫视,http://101.200.122.188/tv/migu085.php?id=gxws
云南卫视,http://101.200.122.188/tv/migu085.php?id=ynws
贵州卫视,http://101.200.122.188/tv/migu085.php?id=gzws
新疆卫视,http://101.200.122.188/tv/migu085.php?id=xjws
海南卫视,http://101.200.122.188/tv/migu085.php?id=hinws
西藏卫视,http://101.200.122.188/tv/migu085.php?id=xzws
四海钓鱼,http://101.200.122.188/tv/migu085.php?id=shdy
东方影视,http://101.200.122.188/tv/migu085.php?id=dfys
广东影视,http://101.200.122.188/tv/migu085.php?id=gdys
嘉佳卡通,http://101.200.122.188/tv/migu085.php?id=jjkt


🇨🇳鹏博士全网通👉8M,#genre#
//需要将UA设置为k

🇨🇳央视频道👉8M,#genre#
CCTV1,http://124.205.11.205:91/live/CCTV1hd-8M/live.m3u8
CCTV2,http://124.205.11.205:91/live/CCTV2hd-8M/live.m3u8
CCTV3,http://124.205.11.205:91/live/CCTV3hd-8M/live.m3u8
CCTV4,http://124.205.11.205:91/live/CCTV4hd-8M/live.m3u8
CCTV5,http://124.205.11.205:91/live/CCTV5hd-8M/live.m3u8
CCTV5+,http://124.205.11.205:91/live/CCTV5+hd-8M/live.m3u8
CCTV6,http://124.205.11.205:91/live/CCTV6hd-8M/live.m3u8
CCTV7,http://124.205.11.205:91/live/CCTV7hd-8M/live.m3u8
CCTV8,http://124.205.11.205:91/live/CCTV8hd-8M/live.m3u8
CCTV9,http://124.205.11.205:91/live/CCTV9hd-8M/live.m3u8
CCTV10,http://124.205.11.205:91/live/CCTV10hd-8M/live.m3u8
CCTV11,http://124.205.11.205:91/live/CCTV11hd-8M/live.m3u8
CCTV12,http://124.205.11.205:91/live/CCTV12hd-8M/live.m3u8
CCTV13,http://124.205.11.205:91/live/CCTV13hd-8M/live.m3u8
CCTV14,http://124.205.11.205:91/live/CCTV14hd-8M/live.m3u8
CCTV15,http://124.205.11.205:91/live/CCTV15hd-8M/live.m3u8
CCTV16,http://124.205.11.205:91/live/CCTV16hd-8M/live.m3u8
CCTV17,http://124.205.11.205:91/live/CCTV17hd-8M/live.m3u8
CETV1,http://124.205.11.205:91/live/CETV1hd-8M/live.m3u8
CETV1,http://124.205.11.205:91/live/CETV2-1500k/live.m3u8
CETV1,http://124.205.11.205:91/live/CETV3-1500k/live.m3u8
CETV1,http://124.205.11.205:91/live/CETV4-1500k/live.m3u8
CGTV,http://124.205.11.205:91/live/CCTVNEWS-1500k/live.m3u8

🇨🇳卫视频道👉8M,#genre#
北京卫视,http://124.205.11.205:91/live/BJWShd-8M/live.m3u8
东方卫视,http://124.205.11.205:91/live/DFWShd-8M/live.m3u8
天津卫视,http://124.205.11.205:91/live/TJWShd-8M/live.m3u8
重庆卫视,http://124.205.11.205:91/live/CQWShd-8M/live.m3u8
黑龙江卫视,http://124.205.11.205:91/live/HLJWShd-8M/live.m3u8
吉林卫视,http://124.205.11.205:91/live/JLWShd-8M/live.m3u8
辽宁卫视,http://124.205.11.205:91/live/LNWShd-8M/live.m3u8
河北卫视,http://124.205.11.205:91/live/HeBWShd-8M/live.m3u8
山东卫视,http://124.205.11.205:91/live/SDWShd-8M/live.m3u8
安徽卫视,http://124.205.11.205:91/live/AHWShd-8M/live.m3u8
河南卫视,http://124.205.11.205:91/live/HuNWShd-8M/live.m3u8
湖北卫视,http://124.205.11.205:91/live/HuBWShd-8M/live.m3u8
湖南卫视,http://124.205.11.205:91/live/HuNWShd-8M/live.m3u8
江西卫视,http://124.205.11.205:91/live/JXWShd-8M/live.m3u8
江苏卫视,http://124.205.11.205:91/live/JSWShd-8M/live.m3u8
浙江卫视,http://124.205.11.205:91/live/ZJWShd-8M/live.m3u8
东南卫视,http://124.205.11.205:91/live/DNWShd-8M/live.m3u8
广东卫视,http://124.205.11.205:91/live/GDWShd-8M/live.m3u8
深圳卫视,http://124.205.11.205:91/live/SZWShd-8M/live.m3u8
贵州卫视,http://124.205.11.205:91/live/GZWShd-8M/live.m3u8

//🇨🇳卫视频道👉标清
广西卫视,http://124.205.11.205:91/live/GXWS-1500k/live.m3u8
云南卫视,http://124.205.11.205:91/live/YNWS-1500k/live.m3u8
四川卫视,http://124.205.11.205:91/live/SCWS-1500k/live.m3u8
新疆卫视,http://124.205.11.205:91/live/XJWS-1500k/live.m3u8
兵团卫视,http://124.205.11.205:91/live/BTWS-1500k/live.m3u8
西藏卫视,http://124.205.11.205:91/live/XZWS-1500k/live.m3u8
海南卫视,http://124.205.11.205:91/live/LYWS-1500k/live.m3u8
三沙卫视,http://124.205.11.205:91/live/SSWS-1500k/live.m3u8
农林卫视,http://124.205.11.205:91/live/NLWS-1500k/live.m3u8
大湾区卫视,http://124.205.11.205:91/live/NFWS-1500k/live.m3u8
内蒙古卫视,http://124.205.11.205:91/live/NMGWS-1500k/live.m3u8
厦门卫视,http://124.205.11.205:91/live/XMWS-1500k/live.m3u8
宁夏卫视,http://124.205.11.205:91/live/NXWS-1500k/live.m3u8
甘肃卫视,http://124.205.11.205:91/live/GSWS-1500k/live.m3u8
青海卫视,http://124.205.11.205:91/live/QHWS-1500k/live.m3u8
山西卫视,http://124.205.11.205:91/live/SXWS1-1500k/live.m3u8
陕西卫视,http://124.205.11.205:91/live/SXWS3-1500k/live.m3u8

//🇨🇳北京频道👉地方
纪实文人,http://124.205.11.205:91/live/JSRWhd-8M/live.m3u8
哈哈炫动,http://124.205.11.205:91/live/XDKT-1500k/live.m3u8
金鹰卡通,http://124.205.11.205:91/live/JYKT-1500k/live.m3u8
金鹰纪实,http://124.205.11.205:91/live/JYJShd-8M/live.m3u8
嘉佳卡通,http://124.205.11.205:91/live/JJKT-1500k/live.m3u8
财富天下,http://124.205.11.205:91/live/CFTX-1500k/live.m3u8
北京文艺,http://124.205.11.205:91/live/BTVWYhd-5M/live.m3u8
北京体育休闲,http://124.205.11.205:91/live/BTVTYhd-8M/live.m3u8
北京影视,http://124.205.11.205:91/live/BTVYShd-5M/live.m3u8
北京财经,http://124.205.11.205:91/live/BTVCJhd-5M/live.m3u8
北京生活,http://124.205.11.205:91/live/BTVSHhd-5M/live.m3u8
北京新闻,http://124.205.11.205:91/live/BTVXWhd-5M/live.m3u8
北京纪实科教,http://124.205.11.205:91/live/BTVKJhd-5M/live.m3u8
北京纪实科教,http://124.205.11.205:91/live/BTVKJhd-8M/live.m3u8
北京国际,http://124.205.11.205:91/live/BTVGJ-1500k/live.m3u8


🏄安徽电信央视频道2024-09-12更新,#genre#
CCTV1,http://114.98.161.172:2000/rtp/238.1.78.166:7200
CCTV1,http://117.57.79.182:8888/rtp/238.1.78.166:7200
CCTV1,http://117.67.176.35:4022/rtp/238.1.78.166:7200
CCTV1,http://117.69.24.205:8888/rtp/238.1.78.166:7200
CCTV1,http://117.69.50.205:8888/rtp/238.1.78.166:7200
CCTV1,http://117.82.217.77:4000/rtp/238.1.78.166:7200
CCTV1,http://180.117.245.212:4022/rtp/238.1.78.166:7200
CCTV1,http://183.166.124.121:8888/rtp/238.1.78.166:7200
CCTV1,http://223.215.11.181:2000/rtp/238.1.78.166:7200
CCTV1,http://60.168.225.189:2000/rtp/238.1.78.166:7200
CCTV1,http://60.168.225.251:2000/rtp/238.1.78.166:7200
CCTV1,http://60.169.42.1:4000/rtp/238.1.78.166:7200
CCTV2,http://114.98.161.172:2000/rtp/238.1.78.235:7752
CCTV2,http://117.57.79.182:8888/rtp/238.1.78.235:7752
CCTV2,http://117.67.176.35:4022/rtp/238.1.78.235:7752
CCTV2,http://117.69.24.205:8888/rtp/238.1.78.235:7752
CCTV2,http://117.69.50.205:8888/rtp/238.1.78.235:7752
CCTV2,http://117.82.217.77:4000/rtp/238.1.78.235:7752
CCTV2,http://180.117.245.212:4022/rtp/238.1.78.235:7752
CCTV2,http://183.166.124.121:8888/rtp/238.1.78.235:7752
CCTV2,http://223.215.11.181:2000/rtp/238.1.78.235:7752
CCTV2,http://60.168.225.189:2000/rtp/238.1.78.235:7752
CCTV2,http://60.168.225.251:2000/rtp/238.1.78.235:7752
CCTV2,http://60.169.42.1:4000/rtp/238.1.78.235:7752
CCTV3,http://114.98.161.172:2000/rtp/238.1.78.170:7232
CCTV3,http://117.57.79.182:8888/rtp/238.1.78.170:7232
CCTV3,http://117.67.176.35:4022/rtp/238.1.78.170:7232
CCTV3,http://117.69.24.205:8888/rtp/238.1.78.170:7232
CCTV3,http://117.69.50.205:8888/rtp/238.1.78.170:7232
CCTV3,http://117.82.217.77:4000/rtp/238.1.78.170:7232
CCTV3,http://180.117.245.212:4022/rtp/238.1.78.170:7232
CCTV3,http://183.166.124.121:8888/rtp/238.1.78.170:7232
CCTV3,http://223.215.11.181:2000/rtp/238.1.78.170:7232
CCTV3,http://60.168.225.189:2000/rtp/238.1.78.170:7232
CCTV3,http://60.168.225.251:2000/rtp/238.1.78.170:7232
CCTV3,http://60.169.42.1:4000/rtp/238.1.78.170:7232
CCTV4,http://114.98.161.172:2000/rtp/238.1.78.236:7760
CCTV4,http://117.57.79.182:8888/rtp/238.1.78.236:7760
CCTV4,http://117.67.176.35:4022/rtp/238.1.78.236:7760
CCTV4,http://117.69.24.205:8888/rtp/238.1.78.236:7760
CCTV4,http://117.69.50.205:8888/rtp/238.1.78.236:7760
CCTV4,http://117.82.217.77:4000/rtp/238.1.78.236:7760
CCTV4,http://180.117.245.212:4022/rtp/238.1.78.236:7760
CCTV4,http://183.166.124.121:8888/rtp/238.1.78.236:7760
CCTV4,http://223.215.11.181:2000/rtp/238.1.78.236:7760
CCTV4,http://60.168.225.189:2000/rtp/238.1.78.236:7760
