
//需要将UA设置为k

鹏博士🇨🇳央视频道👉8M,#genre#
CCTV1综合HD,http://124.205.11.205:91/live/CCTV1hd-8M/live.m3u8
CCTV2财经HD,http://124.205.11.205:91/live/CCTV2hd-8M/live.m3u8
CCTV3综艺HD,http://124.205.11.205:91/live/CCTV3hd-8M/live.m3u8
CCTV4中文国际HD,http://124.205.11.205:91/live/CCTV4hd-8M/live.m3u8
CCTV5体育HD,http://124.205.11.205:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事HD,http://124.205.11.205:91/live/CCTV5+hd-8M/live.m3u8
CCTV6电影HD,http://124.205.11.205:91/live/CCTV6hd-8M/live.m3u8
CCTV7国防军事HD,http://124.205.11.205:91/live/CCTV7hd-8M/live.m3u8
CCTV8电视剧HD,http://124.205.11.205:91/live/CCTV8hd-8M/live.m3u8
CCTV9纪录HD,http://124.205.11.205:91/live/CCTV9hd-8M/live.m3u8
CCTV10科教HD,http://124.205.11.205:91/live/CCTV10hd-8M/live.m3u8
CCTV11戏曲HD,http://124.205.11.205:91/live/CCTV11hd-8M/live.m3u8
CCTV12社会与法HD,http://124.205.11.205:91/live/CCTV12hd-8M/live.m3u8
CCTV13新闻HD,http://124.205.11.205:91/live/CCTV13hd-8M/live.m3u8
CCTV14少儿HD,http://124.205.11.205:91/live/CCTV14hd-8M/live.m3u8
CCTV15音乐HD,http://124.205.11.205:91/live/CCTV15hd-8M/live.m3u8
CCTV16奥林匹克HD,http://124.205.11.205:91/live/CCTV16hd-8M/live.m3u8
CCTV17农业农村HD,http://124.205.11.205:91/live/CCTV17hd-8M/live.m3u8
CETV1中教1台HD,http://124.205.11.205:91/live/CETV1hd-8M/live.m3u8
CETV1中教2台,http://124.205.11.205:91/live/CETV2-1500k/live.m3u8
CETV1中教3台,http://124.205.11.205:91/live/CETV3-1500k/live.m3u8
CETV1中教4台,http://124.205.11.205:91/live/CETV4-1500k/live.m3u8
CGTV,http://124.205.11.205:91/live/CCTVNEWS-1500k/live.m3u8
CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方频道

鹏博士🇨🇳卫视频道👉8M,#genre#
北京卫视HD,http://124.205.11.205:91/live/BJWShd-8M/live.m3u8
东方卫视HD,http://124.205.11.205:91/live/DFWShd-8M/live.m3u8
天津卫视HD,http://124.205.11.205:91/live/TJWShd-8M/live.m3u8
重庆卫视HD,http://124.205.11.205:91/live/CQWShd-8M/live.m3u8
黑龙江卫视HD,http://124.205.11.205:91/live/HLJWShd-8M/live.m3u8
吉林卫视HD,http://124.205.11.205:91/live/JLWShd-8M/live.m3u8
辽宁卫视HD,http://124.205.11.205:91/live/LNWShd-8M/live.m3u8
河北卫视HD,http://124.205.11.205:91/live/HeBWShd-8M/live.m3u8
山东卫视HD,http://124.205.11.205:91/live/SDWShd-8M/live.m3u8
安徽卫视HD,http://124.205.11.205:91/live/AHWShd-8M/live.m3u8
河南卫视HD,http://124.205.11.205:91/live/HuNWShd-8M/live.m3u8
湖北卫视HD,http://124.205.11.205:91/live/HuBWShd-8M/live.m3u8
湖南卫视HD,http://124.205.11.205:91/live/HuNWShd-8M/live.m3u8
江西卫视HD,http://124.205.11.205:91/live/JXWShd-8M/live.m3u8
江苏卫视HD,http://124.205.11.205:91/live/JSWShd-8M/live.m3u8
浙江卫视HD,http://124.205.11.205:91/live/ZJWShd-8M/live.m3u8
东南卫视HD,http://124.205.11.205:91/live/DNWShd-8M/live.m3u8
广东卫视HD,http://124.205.11.205:91/live/GDWShd-8M/live.m3u8
深圳卫视HD,http://124.205.11.205:91/live/SZWShd-8M/live.m3u8
贵州卫视HD,http://124.205.11.205:91/live/GZWShd-8M/live.m3u8

鹏博士🇨🇳卫视频道👉标清,#genre#
广西卫视,http://124.205.11.205:91/live/GXWS-1500k/live.m3u8
云南卫视,http://124.205.11.205:91/live/YNWS-1500k/live.m3u8
四川卫视,http://124.205.11.205:91/live/SCWS-1500k/live.m3u8
新疆卫视,http://124.205.11.205:91/live/XJWS-1500k/live.m3u8
兵团卫视,http://124.205.11.205:91/live/BTWS-1500k/live.m3u8
西藏卫视,http://124.205.11.205:91/live/XZWS-1500k/live.m3u8
海南卫视,http://124.205.11.205:91/live/LYWS-1500k/live.m3u8
三沙卫视,http://124.205.11.205:91/live/SSWS-1500k/live.m3u8
农林卫视,http://124.205.11.205:91/live/NLWS-1500k/live.m3u8
大湾区卫视,http://124.205.11.205:91/live/NFWS-1500k/live.m3u8
内蒙古卫视,http://124.205.11.205:91/live/NMGWS-1500k/live.m3u8
厦门卫视,http://124.205.11.205:91/live/XMWS-1500k/live.m3u8
宁夏卫视,http://124.205.11.205:91/live/NXWS-1500k/live.m3u8
甘肃卫视,http://124.205.11.205:91/live/GSWS-1500k/live.m3u8
青海卫视,http://124.205.11.205:91/live/QHWS-1500k/live.m3u8
山西卫视,http://124.205.11.205:91/live/SXWS1-1500k/live.m3u8
陕西卫视,http://124.205.11.205:91/live/SXWS3-1500k/live.m3u8

鹏博士🇨🇳北京频道👉地方,#genre#
纪实文人HD,http://124.205.11.205:91/live/JSRWhd-8M/live.m3u8
哈哈炫动,http://124.205.11.205:91/live/XDKT-1500k/live.m3u8
金鹰卡通,http://124.205.11.205:91/live/JYKT-1500k/live.m3u8
金鹰纪实HD,http://124.205.11.205:91/live/JYJShd-8M/live.m3u8
嘉佳卡通,http://124.205.11.205:91/live/JJKT-1500k/live.m3u8
财富天下,http://124.205.11.205:91/live/CFTX-1500k/live.m3u8
北京文艺,http://124.205.11.205:91/live/BTVWYhd-5M/live.m3u8
北京体育休闲,http://124.205.11.205:91/live/BTVTYhd-8M/live.m3u8
北京影视,http://124.205.11.205:91/live/BTVYShd-5M/live.m3u8
