天线信号⚡咪咕🏄,#genre#
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1
CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17
CCTV4美洲,http://101.200.122.188/tv/migu085.php?id=cctv4a
CCTV4欧洲,http://101.200.122.188/tv/migu085.php?id=cctv4o

东方卫视,http://101.200.122.188/tv/migu085.php?id=dfws
重庆卫视,http://101.200.122.188/tv/migu085.php?id=cqws
辽宁卫视,http://101.200.122.188/tv/migu085.php?id=lnws
吉林卫视,http://101.200.122.188/tv/migu085.php?id=jlws
内蒙古卫视,http://101.200.122.188/tv/migu085.php?id=nmws
宁夏卫视,http://101.200.122.188/tv/migu085.php?id=nxws
甘肃卫视,http://101.200.122.188/tv/migu085.php?id=gsws
青海卫视,http://101.200.122.188/tv/migu085.php?id=qhws
陕西卫视,http://101.200.122.188/tv/migu085.php?id=sxws
山东卫视,http://101.200.122.188/tv/migu085.php?id=sdws
河南卫视,http://101.200.122.188/tv/migu085.php?id=hnws
湖北卫视,http://101.200.122.188/tv/migu085.php?id=hubws
湖南卫视,http://101.200.122.188/tv/migu085.php?id=hunws
江西卫视,http://101.200.122.188/tv/migu085.php?id=jxws
江苏卫视,http://101.200.122.188/tv/migu085.php?id=jsws
广东卫视,http://101.200.122.188/tv/migu085.php?id=gdws
大湾区卫视,http://101.200.122.188/tv/migu085.php?id=dwqws
广西卫视,http://101.200.122.188/tv/migu085.php?id=gxws
云南卫视,http://101.200.122.188/tv/migu085.php?id=ynws
贵州卫视,http://101.200.122.188/tv/migu085.php?id=gzws
新疆卫视,http://101.200.122.188/tv/migu085.php?id=xjws
海南卫视,http://101.200.122.188/tv/migu085.php?id=hinws
西藏卫视,http://101.200.122.188/tv/migu085.php?id=xzws
四海钓鱼,http://101.200.122.188/tv/migu085.php?id=shdy
东方影视,http://101.200.122.188/tv/migu085.php?id=dfys
广东影视,http://101.200.122.188/tv/migu085.php?id=gdys
嘉佳卡通,http://101.200.122.188/tv/migu085.php?id=jjkt

安徽电信组播2024-09-12更新,#genre#
CCTV1,http://114.98.161.172:2000/rtp/238.1.78.166:7200
CCTV1,http://117.57.79.182:8888/rtp/238.1.78.166:7200
CCTV1,http://117.67.176.35:4022/rtp/238.1.78.166:7200
CCTV1,http://117.69.24.205:8888/rtp/238.1.78.166:7200
CCTV1,http://117.69.50.205:8888/rtp/238.1.78.166:7200
CCTV1,http://117.82.217.77:4000/rtp/238.1.78.166:7200
CCTV1,http://180.117.245.212:4022/rtp/238.1.78.166:7200
CCTV1,http://183.166.124.121:8888/rtp/238.1.78.166:7200
CCTV1,http://223.215.11.181:2000/rtp/238.1.78.166:7200
CCTV1,http://60.168.225.189:2000/rtp/238.1.78.166:7200
CCTV1,http://60.168.225.251:2000/rtp/238.1.78.166:7200
CCTV1,http://60.169.42.1:4000/rtp/238.1.78.166:7200
CCTV2,http://114.98.161.172:2000/rtp/238.1.78.235:7752
CCTV2,http://117.57.79.182:8888/rtp/238.1.78.235:7752
CCTV2,http://117.67.176.35:4022/rtp/238.1.78.235:7752
CCTV2,http://117.69.24.205:8888/rtp/238.1.78.235:7752
CCTV2,http://117.69.50.205:8888/rtp/238.1.78.235:7752
CCTV2,http://117.82.217.77:4000/rtp/238.1.78.235:7752
CCTV2,http://180.117.245.212:4022/rtp/238.1.78.235:7752
CCTV2,http://183.166.124.121:8888/rtp/238.1.78.235:7752
CCTV2,http://223.215.11.181:2000/rtp/238.1.78.235:7752
CCTV2,http://60.168.225.189:2000/rtp/238.1.78.235:7752
CCTV2,http://60.168.225.251:2000/rtp/238.1.78.235:7752
CCTV2,http://60.169.42.1:4000/rtp/238.1.78.235:7752
CCTV3,http://114.98.161.172:2000/rtp/238.1.78.170:7232
CCTV3,http://117.57.79.182:8888/rtp/238.1.78.170:7232
CCTV3,http://117.67.176.35:4022/rtp/238.1.78.170:7232
CCTV3,http://117.69.24.205:8888/rtp/238.1.78.170:7232
CCTV3,http://117.69.50.205:8888/rtp/238.1.78.170:7232
CCTV3,http://117.82.217.77:4000/rtp/238.1.78.170:7232
CCTV3,http://180.117.245.212:4022/rtp/238.1.78.170:7232
CCTV3,http://183.166.124.121:8888/rtp/238.1.78.170:7232
CCTV3,http://223.215.11.181:2000/rtp/238.1.78.170:7232
CCTV3,http://60.168.225.189:2000/rtp/238.1.78.170:7232
CCTV3,http://60.168.225.251:2000/rtp/238.1.78.170:7232
CCTV3,http://60.169.42.1:4000/rtp/238.1.78.170:7232
CCTV4,http://114.98.161.172:2000/rtp/238.1.78.236:7760
CCTV4,http://117.57.79.182:8888/rtp/238.1.78.236:7760
CCTV4,http://117.67.176.35:4022/rtp/238.1.78.236:7760
CCTV4,http://117.69.24.205:8888/rtp/238.1.78.236:7760
CCTV4,http://117.69.50.205:8888/rtp/238.1.78.236:7760
CCTV4,http://117.82.217.77:4000/rtp/238.1.78.236:7760
CCTV4,http://180.117.245.212:4022/rtp/238.1.78.236:7760
CCTV4,http://183.166.124.121:8888/rtp/238.1.78.236:7760
CCTV4,http://223.215.11.181:2000/rtp/238.1.78.236:7760
CCTV4,http://60.168.225.189:2000/rtp/238.1.78.236:7760
CCTV4,http://60.168.225.251:2000/rtp/238.1.78.236:7760
CCTV4,http://60.169.42.1:4000/rtp/238.1.78.236:7760
CCTV5+,http://114.98.161.172:2000/rtp/238.1.78.237:7768
CCTV5+,http://117.57.79.182:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.67.176.35:4022/rtp/238.1.78.237:7768
CCTV5+,http://117.69.24.205:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.69.50.205:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.82.217.77:4000/rtp/238.1.78.237:7768
CCTV5+,http://180.117.245.212:4022/rtp/238.1.78.237:7768
CCTV5+,http://183.166.124.121:8888/rtp/238.1.78.237:7768
CCTV5+,http://223.215.11.181:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.168.225.189:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.168.225.251:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.169.42.1:4000/rtp/238.1.78.237:7768
CCTV5,http://114.98.161.172:2000/rtp/238.1.78.171:7240
CCTV5,http://117.57.79.182:8888/rtp/238.1.78.171:7240
CCTV5,http://117.67.176.35:4022/rtp/238.1.78.171:7240
CCTV5,http://117.69.24.205:8888/rtp/238.1.78.171:7240
CCTV5,http://117.69.50.205:8888/rtp/238.1.78.171:7240
CCTV5,http://117.82.217.77:4000/rtp/238.1.78.171:7240
CCTV5,http://180.117.245.212:4022/rtp/238.1.78.171:7240
CCTV5,http://183.166.124.121:8888/rtp/238.1.78.171:7240
CCTV5,http://223.215.11.181:2000/rtp/238.1.78.171:7240
CCTV5,http://60.168.225.189:2000/rtp/238.1.78.171:7240
CCTV5,http://60.168.225.251:2000/rtp/238.1.78.171:7240
CCTV5,http://60.169.42.1:4000/rtp/238.1.78.171:7240
CCTV6,http://114.98.161.172:2000/rtp/238.1.78.172:7248
CCTV6,http://117.57.79.182:8888/rtp/238.1.78.172:7248
CCTV6,http://117.67.176.35:4022/rtp/238.1.78.172:7248
CCTV6,http://117.69.24.205:8888/rtp/238.1.78.172:7248
CCTV6,http://117.69.50.205:8888/rtp/238.1.78.172:7248
CCTV6,http://117.82.217.77:4000/rtp/238.1.78.172:7248
CCTV6,http://180.117.245.212:4022/rtp/238.1.78.172:7248
CCTV6,http://183.166.124.121:8888/rtp/238.1.78.172:7248
CCTV6,http://223.215.11.181:2000/rtp/238.1.78.172:7248
CCTV6,http://60.168.225.189:2000/rtp/238.1.78.172:7248
CCTV6,http://60.168.225.251:2000/rtp/238.1.78.172:7248
CCTV6,http://60.169.42.1:4000/rtp/238.1.78.172:7248
CCTV7,http://114.98.161.172:2000/rtp/238.1.78.239:7784
CCTV7,http://117.57.79.182:8888/rtp/238.1.78.239:7784
CCTV7,http://117.67.176.35:4022/rtp/238.1.78.239:7784
CCTV7,http://117.69.24.205:8888/rtp/238.1.78.239:7784
CCTV7,http://117.69.50.205:8888/rtp/238.1.78.239:7784
CCTV7,http://117.82.217.77:4000/rtp/238.1.78.239:7784
CCTV7,http://180.117.245.212:4022/rtp/238.1.78.239:7784
CCTV7,http://183.166.124.121:8888/rtp/238.1.78.239:7784
CCTV7,http://223.215.11.181:2000/rtp/238.1.78.239:7784
CCTV7,http://60.168.225.189:2000/rtp/238.1.78.239:7784
CCTV7,http://60.168.225.251:2000/rtp/238.1.78.239:7784
CCTV7,http://60.169.42.1:4000/rtp/238.1.78.239:7784
CCTV8,http://114.98.161.172:2000/rtp/238.1.78.173:7256
CCTV8,http://117.57.79.182:8888/rtp/238.1.78.173:7256
CCTV8,http://117.67.176.35:4022/rtp/238.1.78.173:7256
CCTV8,http://117.69.24.205:8888/rtp/238.1.78.173:7256
CCTV8,http://117.69.50.205:8888/rtp/238.1.78.173:7256
CCTV8,http://117.82.217.77:4000/rtp/238.1.78.173:7256
CCTV8,http://180.117.245.212:4022/rtp/238.1.78.173:7256
CCTV8,http://183.166.124.121:8888/rtp/238.1.78.173:7256
CCTV8,http://223.215.11.181:2000/rtp/238.1.78.173:7256
CCTV8,http://60.168.225.189:2000/rtp/238.1.78.173:7256
CCTV8,http://60.168.225.251:2000/rtp/238.1.78.173:7256
CCTV8,http://60.169.42.1:4000/rtp/238.1.78.173:7256
CCTV9,http://114.98.161.172:2000/rtp/238.1.78.240:7792
CCTV9,http://117.57.79.182:8888/rtp/238.1.78.240:7792
CCTV9,http://117.67.176.35:4022/rtp/238.1.78.240:7792
CCTV9,http://117.69.24.205:8888/rtp/238.1.78.240:7792
CCTV9,http://117.69.50.205:8888/rtp/238.1.78.240:7792
CCTV9,http://117.82.217.77:4000/rtp/238.1.78.240:7792
CCTV9,http://180.117.245.212:4022/rtp/238.1.78.240:7792
CCTV9,http://183.166.124.121:8888/rtp/238.1.78.240:7792
CCTV9,http://223.215.11.181:2000/rtp/238.1.78.240:7792
CCTV9,http://60.168.225.189:2000/rtp/238.1.78.240:7792
CCTV9,http://60.168.225.251:2000/rtp/238.1.78.240:7792
CCTV9,http://60.169.42.1:4000/rtp/238.1.78.240:7792
CCTV10,http://114.98.161.172:2000/rtp/238.1.78.241:7800
CCTV10,http://117.57.79.182:8888/rtp/238.1.78.241:7800
CCTV10,http://117.67.176.35:4022/rtp/238.1.78.241:7800
CCTV10,http://117.69.24.205:8888/rtp/238.1.78.241:7800
CCTV10,http://117.69.50.205:8888/rtp/238.1.78.241:7800
CCTV10,http://117.82.217.77:4000/rtp/238.1.78.241:7800
CCTV10,http://180.117.245.212:4022/rtp/238.1.78.241:7800
CCTV10,http://183.166.124.121:8888/rtp/238.1.78.241:7800
CCTV10,http://223.215.11.181:2000/rtp/238.1.78.241:7800
CCTV10,http://60.168.225.189:2000/rtp/238.1.78.241:7800
CCTV10,http://60.168.225.251:2000/rtp/238.1.78.241:7800
CCTV10,http://60.169.42.1:4000/rtp/238.1.78.241:7800
